Name,Address,Latitude,Longitude,Type,Editor,Owner/Publisher,Contributors,Printer,Dates,Archives,Notes,OCLC NO,Libraries
La Verdad ,89 Nassau St. (across from the Sun),40.710201,-74.007881,Publication,Cora Montgomery; Miguel T. Tolón; Pedro Santacilia,Cirilio Villaverde (Lazo 173); Domingo de Goicouría y Cabrera,,,1848 - 1853,http://www.latinamericanstudies.org/laverdad.htm,"According to Lazo, printed on NY Sun press (78); edited by Santacilia starting in 1856 after he edited El Guao'; ""attempted to convince readers that annexation was the true path to prosperity for Cubans and U.S. investors"" (Lazo 65).; edited by Miguel T Tolón from 1848-1852 (Lazo 72); most issues had an English-language section

According to Poyo, founded by Betancourt Cisneros, with the collaboration of John O'Sullivan, to promote purchase of Cuba by the U.S. (9)

According to Mirabel, ""Verdad, one of the longest running and most influential exile newspapers in New York. This Spanish-English bimonthly was distinctly anti-Spanish, pro-slavery, annexationist, and rooted in a transnational and collaborative politics between the United States and Cuba.""

Mirabel: ensured that the offices of La Verdad be located across the street from the Sun’s headquarters at 89 Nassau Street.

""One of the most notable efforts of the annexationists in New York was the establishment of a pro-annexation bilingual newspaper, La Verdad, which appeared biweekly from 1848 to 1853"" (Lisandro Pérez Sugar, Cigars, and Revolution 69). Also p. 109 on Goicouría

John Patrick Leary, in A Cultural History of Underdevelopment, reads La Verdad as the source of an alternate view of the hemisphere: ""The alternative American hemisphere the annexationists and anexionistas imagined seeds the history of inter-American abolition and imperialism with the unmade maps of futures past that remind us, as well, of the histories we have inherited."" (He also reads Delaney's Blake as an alternative to that alternative)",,
La Crónica,,,,Publication,,,,,1848 - 1867,Antiquarian society has some issues,,,
El Cubano,36 Vessy St,40.71182,-74.00942,Publication,Miguel T. Tolón,Miguel T. Tolón,,,1852 - 1854,,Lazo 72,,
La Estrella de Panamá,,,,Publication,,,,,1853 - ?,,,,
El Guao,,,,Publication,Pedro Santacilia,Pedro Santacilia,,,1853 - 1853,,"See Lazo Ch. 2 - named after a poison tree; ""Santacilia's trajectory and El Guao exemplify the interconnection of Cuba's literary culture, repression on the island, and the growth of newspaper publishing by Cubans in the United States.""",,
El Filibustero,,,,Publication,Juan and Francisco Bellido de Luna,Juan and Francisco Bellido de Luna,,,1853 - 1855,"No existing issues, according to Recovery index, but Lazo has written about this","See Pérez, Sugar, Cigars, and Revolution, 108)",,
El Mulato,46 Charlton St. ,40.72709,-74.00538,Publication,,"Carlos Collins, Lorenzo Alló, and Juan C. Zenea",,,1854 - 1854,,"""El Mulato uncovered what transnational newspapers circulating in the 1850s failed to confront: the ways filibustering was supported by a set of tacit assumptions about the relationship of land, cultural rights, and racial labor"" (Lazo, Writing to Cuba 151)

""Concerned that the separatist junta's program and tactics had given the movment a reactionary and proslavery reputation, that year a group of exiles led by Carolos Collins, Lorenzo Alló, and Juan C. Zenea demanded that the movement discuss abolition publicly and make its position clear"" (Poyo 17). Quote from El Mulato ""to attack slavery in whatever way it is disguised ... because we consider it incompatible with legitimate and real freedom"" (Poyo 17). (Some in Cuban NYC community considere El Mulato too radical)

Later issues in Readex Database locate the office at 50 Canal st. (see cover of May 9, 1854 issue)

On the end date - Lasted for 13 issues in 1854 (Lisandro Pérez Sugar, Cigars, and Revolution,  115)",,
Cuban Democratic Atheneum,600 Broadway,,,,Miguel Tuerbe Tolón and Lorenzo Allo,,,,,,See Lisandro Pérez p. 115,,
Eco de Cuba,26 Hudson St. ,40.71667,-74.008964,Publication,,José Mesa,,,1855 - ?,Readex database has several issues,"Lazo 69; ""Like El Pueblo, El Eco repeatedly referred to a revolution in Cuba rather than a relationship to the United States that would compromise Cuban independence"" (70).",,
El Cometa,,,,Publication,Miguel T. Tolón,Miguel T. Tolón,,,1855 - ?,,"Lazo 69; ""Like El Pueblo, El Eco repeatedly referred to a revolution in Cuba rather than a relationship to the United States that would compromise Cuban independence"" (70).",,
El Papagayo,2 Renwick St.,40.72428,-74.00863,Publication,Miguel T. Tolón,Miguel T. Tolón,,,1855 - ?,,"""he would not be silenced but instead soar like a parrot toward a vision of 'Cuba libre y republicana'"" (Lazo 65).; Lazo 72",,
El Pueblo,,,,Publication,"Francisco Agüero Estrada, Ramón Ignacio Arnao",,,,1855 - ?,"NYPL's Moses Taylor Papers has one issue from July 27, 1876","""attacked the power of the Cuban economic elite"" Lazo 65; Lazo 94

""With the collapse of separatist activism in 1855, several prominent exiles declared for independence, including Goicouría and Francisco Agüero Estrada, editor of the émigré newspaper El Pueblo"" (Poyo 18)

Mirabel: ""While in New York, Morúa Delgado wrote for El Pueblo and La República.""",,
Boletín de Noticias y Precios Correientes,,,,Publication,,,,,1862 - ?,,,,
El Continental,,,,Publication,,,,,1862 - 186?,,,,
La Voz de la América,,,,Publication,,Benjamín Vicuña Mackenna,,,1865 - 1867,BPL and Harvard have copies - OCLC 13756401,"According to Poyo, Vicuña Mackenna was ""a prominent Chilean political and literary figure who carried a commission from his government to do whatever possible to discredit Spain in the United States. Within two weeks of his arrival Vicuña decided that in addition to his propaganda activities in the United States press, he would found a Spanish language newspaper directed to Hispanic America"" (12). When Chile later recalled Vicuña, he turned the paper over to Mac´âs, Bassora, and Villaverde. ""Under their editorship the newspaper's attention turned primarily to Cuban and Puerto Rican affairs and the separatist cause"" (12).",,
El Espejo Masónico,,,,Publication,,Andrés Cassard served as editor in the 1870s,,,1866 - ?,,Lazo 67,,
La Ilustración Americana,,,,Publication,,,,,1866 - 1870,"No existing issues, according to the Recovery index; however, it's listed in Chronicling America database with OCLC number; UT Austin has some issues in its rare book collection Benson Collection LAC-Z Rare Books 	 -Q- GZ 056.7 IL9  V.5 1868/69   	 LIB USE ONLY
 Benson Collection LAC-Z Rare Books 	 -Q- GZ 056.7 IL9  V.4 1868   	 LIB USE ONLY
 Benson Collection LAC-Z Rare Books 	 -Q- GZ 056.7 IL9  V.3 1867/68   	 LIB USE ONLY
 Benson Collection LAC-Z Rare Books 	 -Q- GZ 056.7 IL9  V.2 1867   	 LIB USE ONLY
 Benson Collection LAC-Z Rare Books 	 -Q- GZ 056.7 IL9  V.1 1866/67   	 LIB USE ONLY ",This is a Spanish edition of Frank Leslie's newspaper; Joshua Brown gives the same dates in Beyond the Lines,61849009,
El Porvenir,51 New St. ,40.70574,-74.012276,Publication,,Enrique Trujillo,,,1867 - 1896,http://chroniclingamerica.loc.gov/lccn/sn83030313/1856-12-28/ed-1/seq-3/#date1=1789&index=5&date2=1924&searchType=advanced&language=&sequence=0&words=El+Porvenir&proxdistance=5&state=New+York&rows=20&ortext=&proxtext=El+porvenir&phrasetext=&andtext=&dateFilterType=yearRange&page=1,"From Enrique Trujillo’s Apuntes históricos, published by the offices of “El Porvenir” – 51 New St., 1896; This article in the New York Tribune cites El Porvenir as their source regarding international matters in Nicaragua. http://chroniclingamerica.loc.gov/lccn/sn83030214/1867-03-05/ed-1/seq-1/#date1=1789&index=9&date2=1924&searchType=advanced&language=&sequence=0&words=El+Porvenir&proxdistance=5&state=New+York&rows=20&ortext=&proxtext=El+porvenir&phrasetext=&andtext=&dateFilterType=yearRange&page=1

Critiqued renewed annexationist efforts surrounding the inter-American conference (Poyo 59)

""New York's El Porvenir especially motivated émigrés by publishing Martí's inspiring nationalist tracts"" (Poyo 97).",,
"Ambas Américas: Revista de Educación, Bibliografía y Agricultura",58 and 60 Fulton St. ,40.70857,-74.00511,Publication,Domingo Faustino Sarmiento,J.M. Macías,,,1867-1868,Boston Public Library has digitized version; https://archive.org/details/ambasamricasre00sarm/page/64/mode/2up,"Printed on Hallet y Breen Press (ad for this also appears in another publication, I believe LRI and Estrella de Cuba); Recovery index suggests Sarmiento was invovled

J.M. Macías is probably Juan Manuel Macías. He is mentioned in Velleman's ""The Cuban Emigrado and the Cultural Unity of the Américas"" as the person who previously occupied the office at 42 Broadway, where Nestor Poncé de León would set up a press, at first to publish the newspaper La Revolución. 
",,
El Cronista,64 & 66 Broadway,,,Publication,José Ferrer de Couto,,,,1867-1877,"Antiquarian society has some issues
UT Dropbox","Wallace, Nueva York, 46 - suggests that this started as La Crónica and changed to El Cronista in 1866 (one year earlier than Recovery index date); According to Lisandro Pérez, this was pro-Spanish (211)

1872 United States Newspaper Directory lists the office at 53 Franklin, with a circulation of 4,800 https://babel.hathitrust.org/cgi/pt?id=umn.319510022738466&view=1up&seq=110&skin=2021&q1=spanish


1877 directory estimates circulation at 6,000 with 64 & 66 Broadway address",,
El Correo Hispano-Americano,,,,Publication,,,,,1868 - ?,"No existing issues, according to Recovery index",,,
El Boletín de la Revolution,,,,Publication,,,,,1868-1869,,,,
Headquarters of the Central Republican Junta of Cuba and Puerto Rico,71 Broadway,,,,,,,,1869,,organized by Morales Lemus (see Lisandro Pérez p. 191),,
La Revolución ,"40 and 42 Broadway, no. 59",,,Publication,"Juan Clemente Zenea y Fornaris, Nestor Ponce de León, Enrique Piñeyro",José Morales Lemus,,,1869 - 1876,"NYPL's Moses Taylor Papers has a pamphlet called “Vindicación de los patriotas Cubanos mal juzgados por “La Revolución”
from 8 de Febrero de 1870 by Angel de Loño y Perez
","La Verdad ""evolved into La Revolución as its editors moved away from their earlier support of annexation"" (Gruesz 112). See also Gruesz 193

According to Poyo, La Revolución initially was led by José Morales Lemus, an influential recently exiled Cuban reformist (Poyo 21-22)
""During 1870 La Revoulción defended the Cuban revolution's antislavery politicies formulated in response to the liberal Spanish reginme's efforts to enact empanicipation legislation"" (Poyo 23).

""La Revolución announced that it would not enter into such debates [about independence vs. annexation]. The question of the day was exclusively separatism, and this continued to be the junta's declared policy thorught the Ten Years War"" (28). [but still did promote annexation]

Lisandro Pérez describes it as a the voice of the aldamistas in NYC (202)

According to Velleman, ""The Cuban Emigrado and the Cultural Unity of the Americas,"" ""Once in New York, Ponce de León became secretary of the ""Junta Revolucionaria,"" and by mid-April of 1869 had begun to publish La Revolución, its official organ"" (104).

Also from Velleman ""The printing press was purchased for $2000 raised through contributions, and installed in the offices previously occupied by the Cuban Juan Manuel Macías, at 42 Broadway"" (112).",,
Cuban Anti-Slavery Committee,62 Bowery,,,,,,,,,,Lisandro Pérez (212),,
El Comercio,237 Broadway,,,Publication,,AK Phillips; J. Shephard Clark,,,187? - ?,NYPL's Moses Taylor Papers has an issue from Nov. 15 1875,"1877 United States Newspaper Director estimates circulation at 1,800 https://babel.hathitrust.org/cgi/pt?id=umn.31951002273850f&view=1up&seq=223&skin=2021&q1=spanish",,
El Sur-Americano,"24 Broadway, Room 9",,,Publication,,Robert Wensioe,,,187? - ?,"NYPL's Moses Taylor Papers has Jan. 15, 1875 issue",,,
El Tribuno Cubano,"31 Park Row, Room 4",,,Publication,R. Rubiera de Armas,Cirilio Villaverde,,,187? - ?,"NYPL appears to have some issues; Title 	El Tribuno cubano
Imprint 	Nueva York [N.Y.] : C. Villaverde,
	
 Permanent link for this record
Identity 	Print ed 
Call No.	MssCol 2955 (Moses Taylor Papers Box 309)
Location	SASB - Manuscripts & Archives Rm 328 
Holdings	<1876:8:23,9:15-29,10:21>
 ","According to Recovery Index, Cirilio Villaverde was involved with this publication; see Lazo 176 and López Mesa 26; go back to Oct. 21 1876 issue for story by Villaverde commissioned for this paper, ""Historia de Madama Roland""",25608917,
La República,,,,Publication,,,,,187? - ?,,,,
La Revolución de Cuba,"40 and 42 Broadway, room 59",,,Publication,Enrique Piñeyro,,,,187? - 1875,"NYPL has some paper copies in the Moses Taylor papers; Nov. 9 1872 issue is año 1, no. 51",Organ of Junto Central Republicana de Cuba y Puerto Rico; see Gruesz p. 187,,
El Americano ,,,,Publication,,,,,187?-?,Arte publico database has some issues,"Pan-Hispanism and hemispheric integration, in fact, formed the basis of El Ateneo’s and El Americano’s ideological stance"" (Kanellos and Martell 64)

1900 United States Newspaper Directory mentions El Americano at 40 Pearl St, founded in 1897
https://babel.hathitrust.org/cgi/pt?id=umn.31951002273861a&view=1up&seq=711&skin=2021&q1=spanish",,
Diario Cubano,85 Nassau St. ,,,Publication,,,,,1870 - ?,UT Dropbox,,,
El Demócrata de Nueva York,,,,Publication,,,,,1870 - ?,,Later called Demócrata de Nueva York; English edition was published as well,,
La Estrella de Cuba = Star of Cuba,,,,Publication,,,,,1870 - ?,Some publications in Redaex have written initials on them but not entirely sure what they mean (J.P.R).    - publications switch from Spanish to English           -saw the name Juan M. Macias repeatedly not sure of his role,,,
La Voz del Pueblo,,,,Publication,,,,,1870 - ?,,,,
El Demócrata,"164 Nassau St., Rooms 12 and 13",,,Publication,José G. del Castillo,,,,1870 - 1870,"UT Austin has microfilm reel; NYPL Moses Taylor collection has Oct. 18, 1870  issue","""upheld the virtues of constituional rule but condemned what it believed to be the misdirected idealism of legislators more concerned with legalities than with pressing on to defeat the Spanish"" (Poyo 39).

According to Lisandro Pérez, criticizes the aldamistas (202)",19843171,
New York Democrat,,,,Publication,,,,,1870 - 1870,,,,
La Enseñanza,,,,Publication,,,,,1870 - 1876,,,,
M.M. Zarzamendi,40 and 42 Broadway,,,Printer,,,,,,,"Published the Book of Blood in 1871; updated in 1873 by Nestor Ponce de León (whose office was at the same address) Lisandro Pérez, 214",,
El Boletín Comercial,,,,Publication,,,,,1871 - ?,,,,
Revista universal,,,,Publication,,,,,1871 - ?,"No existing issues, according to the Recovery index",,,
Nestor Ponce de Léon’s offices and Spanish-language bookstore ,23 Union Square,40.736214,-73.99099,Bookstore,,Nestor Ponce de Léon,,,1871 - 1872,,"Guia de la ciudad de Nueva York from 1872 list Nestor Ponce de Léon’s offices as 23 Union Square; Also printing office called M.M. Zarzamendi listed at 40 y 42 Broadway
Includes ad for Ponce de Léon’s bookstore
",,
El Mundo Nuevo,537 Pearl St. (Frank Leslie's offices),40.713638,-74.001512,Publication,Enrique Piñeyro,"José Augustín Quintero (formed alliance with Frank Leslie's, which ended in 1872)",Isabel Prieto,,1871 - 1875,"US,FL  UNIV OF FLORIDA GASL                          BNCJM   (see also entries for La America Ilustrada - the two publications merged, and some copies seem to be listed under the latter name)

NYPL microfilm real has 1871, vol. 1 issues 3 and 5

Newberry library has vol. 1 (from 1871) before it merged with La America Ilustrada ","""Initiated a new form of Hispanophone print culture. Edited, in turn, by exiled Cuban and Puerto Rican nationalists but aimed at Spanish-speaking readers throughout the hemisphere..."" (162); Initially had a partnership with Frank Leslie's publishing house (Gruesz 162) 

From Diasporic Blackness, Ch. 1, Eugenio María de Hostos wrote ""The Problem of Cuba"" for El Mundo Nuevo in 1874: ""Hostos directed his comments, therefore, not only to a Spanish-language audience but, more importantly, to one that included members of the white Cuban upper class, such as Piñeyro himself, who feared the increased participation of Afro-Cubans in the war as soldiers as much as, or perhaps more than, they did thier Spanish colonizers"" (34).

""In the Cuban émigré press of the early 1870s, the illustrated periodical was not only an alternative to public opinion papers, but also a means to assuage the political tension within the community. Salvador Bueno cites intense factionalism as the reason Enrique Piñeyro left his post as editor of La Revolución to direct the illustrated periodical El Mundo Nuevo (1871)"" (313)",1011439707 & 1013359900 (American Antiquarian Society Online Resource through EBSCO),NYPL has microfilm: http://firstsearch.oclc.org.rlib.pace.edu/WebZ/FSPage?pagetype=return_frameset:sessionid=fsapp6-44381-jjhaslcm-20m34o:entitypagenum=8:0:entityframedurl=http%3A%2F%2Fcatalog.nypl.org%2Fsearch%2Fo7513527:entityframedtitle=NEW+YORK+PUB+LIBR::entityopenTitle=El%20Mundo%20nuevo%20...:entityopenAuthor=:entityopenNumber=:entityframedtimeout=15:clearopen=false:linktype=opacoclcnum
La América Ilustrada,"41 Park Row, Rooms 22, 23, & 30 (New York Times Building)",40.711653,-74.006211,Publication,Juan Ignacio de Armas; Juan Manuel Mestre;  Eugenio María de Hostos,J.C. Rodrigues,Rafael Pombo; Isabel Prieto,,1872-1875,"Volumes 1-2 available through Google Books
US,MA  AMERICAN ANTIQUARIAN SOC LIBR                 AQM     
   US,PA  ATHENAEUM OF PHILADELPHIA                     PAT     
   US,FL  UNIV OF FLORIDA GASL                          BNCJM  ","""Initiated a new form of Hispanophone print culture. Edited, in turn, by exiled Cuban and Puerto Rican nationalists but aimed at Spanish-speaking readers throughout the hemisphere..."" (162); Initially had a partnership with Frank Leslie's publishing house (Gruesz 162) = So is this an early model for the hemispheric audience?

From Diasporic Blackness, Ch. 1, Eugenio María de Hostos wrote ""The Problem of Cuba"" for El Mundo Nuevo in 1874:","6562006, 692602990 & 1011475829 ",https://www.pin1.harvard.edu/cas/login?service=https%3A%2F%2Fwww.pin1.harvard.edu%2Fpin%2Fauthenticate%3F__authen_application%3DHUL_ACC_MGMT_SVC%26__hulaccess_gateway%3Dezproxy%26__hulaccess_resource%3Ddeeplnk1%26__hulaccess_url%3Dezp.2aHR0cDovL2hkbC5oYW5kbGUubmV0LzIwMjcvdWl1Zy4zMDExMjA2OTI5NTc2MQ--%26__hulaccess_agent%3DMozilla%252F5.0%2B%2528Macintosh%253B%2BIntel%2BMac%2BOS%2BX%2B10.13%253B%2Brv%253A60.0%2529%2BGecko%252F20100101%2BFirefox%252F60.0%26__hulaccess_ip%3D24.191.8.234%26__hulaccess_cookie%3Dok
Circular de Joyero,,,,Publication,,,,,1872 - ?,"No existing issues, according to Recovery index",,,
Bookstore of Nestor Ponce de León ,17 East 16th St. (between Union Square and 5th Avenue),40.737164,-73.99224,Bookstore,,,,,1872 - 1872,,,,
Bookstore specializing in Spanish and Latin American books and printing offices of Nestor Ponce de León,40 and 42 Broadway,40.706444,-74.01277,Bookstore,,,,,1873 - ?,,Need to find out how long this was here. Did it overlap with the Hour when Martí was publishing for it or when it moved to the same building in 1883,,
La América,756 Broadway,,,Publication,José Martí,American Agency of New York/Enrique Valiente; Ricardo Farrés,,,1882-?,"According to Lomas, only existing issue is in Cuba at the Instituto de Literature y Lingüística in Havana","Martí became editor in 1883; See Carmen Suárez León's essay in Periodismo como misión and Laura Lomas´'s chapter on La América in Translating Empire

There must be a different América started in 1871?",,
La Raza Latina,,,,Publication,,,,,1873 - ?,"No existing issues, according to the Recovery index",,,
La Federación,,,,Publication,,,,,1873 - 18??,,,,
La Independencia,58 and 60 Fulton St. ,,,Publication,Juan Bellido de Luna,,,,1873 - 1880,"NYPL's Moses Taylor papers includes a pamphlet called ""Carta de Carlos del Castillo al director de 'La Independencia' (de Nueva York), published in London, 1874; also has July 15 1876 issue of the paper; ad in paper includes Hallet y Breen Press at 60 Fulton St. ",,,
El Espejo,4 Cedar St. ,40.708183,-74.00993,Publication,Narciso Villaverde,Narciso Villaverde,,,1874-1893,NYPL has some issues between 1881-1883; no one appears to have later issues; http://chroniclingamerica.loc.gov/lccn/sn83030575/,"Cecilia Valdés – released in 1879 by Spanish-language publisher El Espejo in NYC
(1st volume published in Cuba in 1839) (Brickhouse Transamerican 153)
; According to López Mesa in La comunidad cubana en Nueva York, ran from 1874 – 1878 – Cirilio Villaverde contributed (p. 31) (Also mentions on that page that Martí mentioned it) Recovery index says 1873-93?
According to Mirabel, [To promote her autobiography, Emilia Casanova Villaverde] ""wrote letters to the editors of major newspapers, and published articles in the exile press, including in El Espejo, a separatist newspaper founded by her husband in 1874.
Lisandro Pérez lists Cirilio Villaverde's son as the editor and proprietor; his dates for the publication based on NYPL's run are 1881 - 1885 (258).
NY Age was also at 4 Cedar St. 


1877 United States Newspaper Director estimates circulation at 3,000 https://babel.hathitrust.org/cgi/pt?id=umn.31951002273850f&view=1up&seq=223&skin=2021&q1=spanish",,
Educador Popular,"40 and 42 Broadway, Room 59",,,,Nestor Ponce de León,José Arnaldo Márquez,,,1873-,,"Velleman, Barry L. “The Cuban Emigrado and the Cultural Unity of the Americas: The Work of Néstor Ponce de León (1837-1899).” Revista Interamericana de Bibliografia/Inter-American Review of Bibliography, n.d.

Ambio, ""Illustrating Identity in the Cuban Emigré Press: Latin American Transnationalism in El Ateneo"" - Ponce de León La Educación Popular - published in NYC with support of Peruvian government

1877 United States Newspaper Directory estimates circulation at 5,000 
https://babel.hathitrust.org/cgi/pt?id=umn.31951002273850f&view=1up&seq=221&skin=2021&q1=spanish",,
Guía Comercial,,,,Publication,,,,,1874 - ?,"No existing issues, according to Recovery index",,,
La Voz de Puerto Rico en U.S.A.,,,,Publication,,,,,1874 - ?,"No existing issues, according to the Recovery index",,,
La Llumanera de Nova York,40 Broadway,,,Publication,Artur Cuyas,,,,1874 - 1879,,Included in 1877 United States Newspaper Directory https://babel.hathitrust.org/cgi/pt?id=umn.31951002273850f&view=1up&seq=224&skin=2021&q1=llumanera,,
El Ateneo,"31 Park Row, rooms 32 and 33",40.71173,-74.007225,Publication,,F. de B. Bertot,,,1874-1877,online access through Harvard catalog/HATHI Trust https://babel.hathitrust.org/cgi/pt?id=hvd.hws7pw&view=1up&seq=1,"[Ad for Nestor Ponce de León’s library – last p. of vol. 2 – 40&42 Broadway, Room 59]; Pan-Hispanism and hemispheric integration, in fact, formed the basis of Al Ateneo’s and El Americano’s ideological stance"" (Kanellos and Martell 64); López Mesa gives date range as 1874-1875

See Lisandro Pérez, p. 175

Ad for El Ateneo in El Tribuno Cubano  (advertising fine book printing and translation) locates el Ateneo at 21 Park Row

Ambio, ""Illustrating Identity in the Cuban Emigré Press: Latin American Transnationalism in El Ateneo"" - ""El Ateneo's transnationalism, therefore, does not conform to political status or geopolitical borders but rather is circumscribed by its area of distribution and linguistic ties.""
""El Ateneo redefines nation such that it is culturally, rather than politically, informed. In so doing, Armas situates Cuba as nation among its Latin American counterparts, and, as proposed, secures unique place for Ateneo in Spanish journalis.'

1877 United States Newspaper Directory lists the address at 40 and 42 Broadway, circulation 4,500",,
La Verdad,,,,Publication,,,,,1876 - ?,,,,
La Verdad: Periódico Política Cubana,,,,Publication,,,,,1876 - ?,,Correct spelling? ,,
La Voz de la Patria,19 and 21 Broad St. ,,,Publication,José J. Govantes,,,,1876 - ?,in 1875 called for unity among nationalists in NYC (Poyo 42).,,,
Las Novedades: España y los Pueblos Hispano-Americanos,225-229 W 39th St,40.7548,-73.9898,Publication,,J.G. García and Co. ,,,1876 - 1918,"Uniform Title 	Novedades (New York, N.Y.)
Title 	Las Novedades : Espana y los pueblos hispano-americanos
Imprint 	Nueva York, [N.Y.] : J.G. Garcia y Co.,
	
 Permanent link for this record
Identity 	Microfilm 
Call No.	*ZY 86-69
Location	SASB - Periodicals and Microforms Rm 119 
Holdings	<1893:4:6> <1895:11:23> <1899:2:16> <1905:3:9> <1907:4:11-1907:8:1> <1914:11:5-1916:2:3> <1916:3:5,3:19,4:2-1917:1:21> <1917:2:18-4:1,4:15-1917:12:27> <1918:1:10-3:23,11:30-19:18:12:21>","Interesting because it started earlier and lasted longer than most late-nineteenth-century Spanish-language periodicals in NYC

1877 United States Newspaper Directory lists address as 71 Broadway, circulation

1879 United States Newspaper Directory - H1 circulation",,
Revista Agrícola Industrial,,,,Publication,,,,,1877 - 1880,"No existing issues, according to the Recovery index",,,
